TABELA DE INSUMOS;;;;;;;;;;;
;;;;;;;;;;;
Item;CÓDIGO DA SOLUÇÃO NA PIR/SIAC;Produto (Solução);Quantidade;Descrição do Insumo;Detalhamento;Código RM;;;;;
2461;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;NP;Expediente/Borracha - Bicolor - Macia 52x18x7 mm;;01.02.0016;;;;;
2463;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;4;Expediente/Estilete - Pequeno - 9 mm;;01.02.0038;;;;;
2465;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;NP;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
2468;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Expediente/Papel Cartolina - Amarela;;01.02.0090;;;;;
2470;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Expediente/Papel Cartolina - Azul;;01.02.0405;;;;;
2471;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Expediente/Papel Cartolina - Branca;;01.02.0406;;;;;
2472;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Expediente/Papel Cartolina - Rosa;;01.02.0408;;;;;
2473;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Expediente/Papel Cartolina - Verde;;01.02.0409;;;;;
2475;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;9;Expediente/Cola Bastão - Branca - 10g;;01.02.0603;;;;;
2479;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;NP;Na medida/Crachá;;01.06.0004;;;;;
2501;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Expediente/Papel Crepom - Azul;;;;;;;
2502;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Expediente/Papel Crepom - Verde;;;;;;;
2503;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Expediente/Papel Crepom - Vermelho;;;;;;;
2504;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;30;Expediente/Revistas variadas para recortar;;;;;;;
2505;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;NP;Ficha de Avaliação;;;;;;;
2506;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;50;Folhas A5;;;;;;;
2507;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;4;Grampeador pequeno;;;;;;;
2508;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Grampo para grampear - Caixa;;;;;;;
2510;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;NP;Lista de Presença;;;;;;;
3012;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Caixa de Som ;;01.08.0010 ;;;;;
3074;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3140;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Evento/Computador ;;02.01.0046 ;;;;;
3203;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3269;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3328;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Serviços Prestados Consultoria ;;02.01.0999 ;;;;;
3338;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3404;BA00000000143/0000000042;ASSOCIATIVISMO NA MEDIDA MÓDULO III – PRATICANDO O ASSOCIATIVISMO;1;Tela de Projeção ;;01.08.0057 ;;;;;
265;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;1;Expediente/Fita Adesiva - Crepe - 19x50;;01.02.0313;;;;;
266;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;50;Expediente/Papel Flip Chart;;01.02.0179;;;;;
270;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;5;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
271;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;5;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
272;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;5;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
273;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;5;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
275;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;30;Expediente/Pasta com Aba de Elástico Tamanho Ofício ;;01.02.0110;;;;;
282;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;20;Expediente/Tesoura Escolar - 15cm;;01.02.0135;;;;;
2462;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;NP;Expediente/Borracha - Bicolor - Macia 52x18x7 mm;;01.02.0016;;;;;
2466;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;NP;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
2476;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;6;Expediente/Cola Bastão - Branca - 10g;;01.02.0603;;;;;
2477;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;NP;Na medida/Bloco;;01.06.0001;;;;;
2478;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;NP;Na medida/Pasta;;01.06.0002;;;;;
2480;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;NP;Na medida/Crachá;;01.06.0004;;;;;
2481;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;NP;Na medida/Caneta;;01.06.0005;;;;;
2483;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;NP;Na medida/Certificado;;01.06.0006;;;;;
2511;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;2;Expediente/Papel Cartolina - Amarela;25 Tarjeta 20x10cm Amarela;01.02.0090;;;;;
2512;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;2;Expediente/Papel Cartolina - Azul;25 Tarjeta 20x10cm Azuis;01.02.0405;;;;;
2513;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;2;Expediente/Papel Cartolina - Branca;25 Tarjeta 20x10cm Branca;01.02.0406;;;;;
2514;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;5;Expediente/Papel Cartolina - Rosa;20 Tarjeta 54x10cm Rosa;01.02.0408;;;;;
2515;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;2;Expediente/Papel Cartolina - Verde;25 Tarjeta 20x10cm Verde;01.02.0409;;;;;
2517;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;NP;Ficha de Avaliação;;;;;;;
2518;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;40;Impresso/Mensagens do Texto O Menestrel.;"Anexo ""Mensagens do Texto O Menestrel""";;;;;;
2520;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;NP;Lista de Presença;;;;;;;
2521;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;30;Papel Sulfite Folha;;;;;;;
3013;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;1;Caixa de Som ;;01.08.0010 ;;;;;
3075;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3141;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;1;Evento/Computador ;;02.01.0046 ;;;;;
3204;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3270;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3329;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;1;Serviços Prestados Consultoria ;;02.01.0999 ;;;;;
3339;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3405;BA00000000330/010000000668;ASSOCIATIVISMO NA MEDIDA MÓDULO IV - LEGALIZANDO O EMPREENDORISMO COLETIVO;1;Tela de Projeção ;;01.08.0057 ;;;;;
13;BA00000000518/030000002120;ATENDER BEM NO CAMPO;NP;Expediente/Borracha - Bicolor - Macia 52x18x7 mm;;01.02.0016;;;;;
45;BA00000000518/030000002120;ATENDER BEM NO CAMPO;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
104;BA00000000518/030000002120;ATENDER BEM NO CAMPO;NP;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
140;BA00000000518/030000002120;ATENDER BEM NO CAMPO;100;Expediente/Papel Ofício A4 - 210x297mm - Produto Sustentavel - Folha;;01.02.0086;;;;;
379;BA00000000518/030000002120;ATENDER BEM NO CAMPO;10;Expediente/Papel Flip Chart;;01.02.0179;;;;;
500;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Expediente/Fita Adesiva - Crepe - 19x50;;01.02.0313;;;;;
1063;BA00000000518/030000002120;ATENDER BEM NO CAMPO;NP;Gráfica/Certificado - Matriz- Produto Sustentavel;;02.01.0483;;;;;
1651;BA00000000518/030000002120;ATENDER BEM NO CAMPO;NP;Manual do Participante;;;;;;;
1702;BA00000000518/030000002120;ATENDER BEM NO CAMPO;NP;Matriz/Formulário de avaliação;;;;;;;
1900;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
1944;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
1989;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2068;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
3014;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Caixa de Som ;;01.08.0010 ;;;;;
3076;BA00000000518/030000002120;ATENDER BEM NO CAMPO;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3142;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Evento/Computador ;;02.01.0046 ;;;;;
3205;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3271;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3340;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3406;BA00000000518/030000002120;ATENDER BEM NO CAMPO;1;Tela de Projeção ;;01.08.0057 ;;;;;
46;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
105;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;NP;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
141;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;50;Papel ofício A4 (folha) reciclado ;;01.02.0475;;;;;
298;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;30;Expediente/Pasta com Aba de Elástico Tamanho Ofício ;;01.02.0110;;;;;
380;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;40;Expediente/Papel Flip Chart;;01.02.0179;;;;;
501;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Expediente/Fita Adesiva - Crepe - 19x50;;01.02.0313;;;;;
940;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
1064;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;30;Gráfica/Certificado - Matriz- Produto Sustentavel;;02.01.0483;;;;;
1105;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;NP;Gráfica/Bloco de Anotação - Matriz - Produto Sustentavel;;02.01.0487;;;;;
1206;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;NP;Complementares/MP Atendimento ao Cliente;;;;;;;
1628;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;NP;Manual do Participante;;;;;;;
1703;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;NP;Matriz/Formulário de avaliação;;;;;;;
1756;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Matriz/Lista de Presença;;;;;;;
1857;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
1901;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
1947;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
1992;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2071;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
2157;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;6;Expediente/Bloco Notas Adesivas Removiveis 76x102 mm;POST-IT COLORIDOS (7X10CM)-BLOCOS;01.02.0607;;;;;
2168;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;QUADRO “SATISFAÇÃO DO CLIENTE ” REPRODUZIDO NUMA FOLHA DE FLIP CHARTT;;;;;;;
2384;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2385;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
3015;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Caixa de Som ;;01.08.0010 ;;;;;
3077;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3143;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Evento/Computador ;;02.01.0046 ;;;;;
3206;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3272;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3341;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3407;BA00000000523/010000002130;ATENDIMENTO AO CLIENTE;1;Tela de Projeção ;;01.08.0057 ;;;;;
1;BA00000000640/011440000086;COMERCIALIZAR NO CAMPO;1;Expediente/Balão Colorido - PCT 50;;01.02.0005;;;;;
47;BA00000000640/011440000086;COMERCIALIZAR NO CAMPO;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
299;BA00000000640/011440000086;COMERCIALIZAR NO CAMPO;25;Expediente/Pasta com Aba de Elástico Tamanho Ofício ;;01.02.0110;;;;;
382;BA00000000640/011440000086;COMERCIALIZAR NO CAMPO;10;Expediente/Papel Flip Chart;;01.02.0179;;;;;
941;BA00000000640/011440000086;COMERCIALIZAR NO CAMPO;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
1106;BA00000000640/011440000086;COMERCIALIZAR NO CAMPO;NP;Gráfica/Bloco de Anotação - Matriz - Produto Sustentavel;;02.01.0487;;;;;
1629;BA00000000640/011440000086;COMERCIALIZAR NO CAMPO;NP;Manual do Participante;;;;;;;
1919;BA00000000640/011440000086;COMERCIALIZAR NO CAMPO;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
1964;BA00000000640/011440000086;COMERCIALIZAR NO CAMPO;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
2107;BA00000000640/011440000086;COMERCIALIZAR NO CAMPO;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
49;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
106;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;NP;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
943;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
1653;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;NP;Manual do Participante;;;;;;;
1864;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
2386;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2387;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;1;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
3016;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;1;Caixa de Som ;;01.08.0010 ;;;;;
3078;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3144;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;1;Evento/Computador ;;02.01.0046 ;;;;;
3207;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3273;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3342;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3408;BA00000000454/020000001092;Como Atrair Conquistar e Manter Clientes;1;Tela de Projeção ;;01.08.0057 ;;;;;
50;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
107;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;NP;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
142;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;50;Expediente/Papel Ofício A4 - 210x297mm - Produto Sustentavel - Folha;;01.02.0086;;;;;
223;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;1;Caixa de Bombom;;;;;;;
301;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;30;Expediente/Pasta com Aba de Elástico Tamanho Ofício ;;01.02.0110;;;;;
384;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;40;Expediente/Papel Flip Chart;;01.02.0179;;;;;
481;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;5;Expediente/Hidrocor - 12 Cores;;01.02.0222;;;;;
503;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;2;Expediente/Fita Adesiva - Crepe - 19x50;;01.02.0313;;;;;
735;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;4;Expediente/Papel Cartolina - Amarela;;01.02.0090;;;;;
810;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;1;Expediente/Bloco Notas Adesivas Removiveis 76x102 mm;BLOCOS DE POST-IT – COR AMARELA;01.02.0607;;;;;
944;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
1066;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;30;Gráfica/Certificado - Matriz- Produto Sustentavel;;02.01.0483;;;;;
1108;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;NP;Gráfica/Bloco de Anotação - Matriz - Produto Sustentavel;;02.01.0487;;;;;
1440;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;30;Impresso/CÓPIAS DO ANEXO 1( PAG 109 E 110) E ANEXO 2 (PAG 110 E 111);ENCONTRO 4;;;;;;
1442;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;30;Impresso/CÓPIAS DO ANEXO 1(PAG 29 E 30) E ANEXO 2   ( PAG 31 E 32);ENCONTRO 1;;;;;;
1631;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;NP;Manual do Participante;;;;;;;
1758;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;1;Matriz/Lista de Presença;;;;;;;
1926;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
1971;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
2014;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2132;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
2369;BA00000000623/011440000035;COMO CONDUZIR NEGOCIACOES EFICAZES;4;Expediente/Papel Cartolina - Azul;;01.02.0405;;;;;
51;BA00000000646/011440000095;COMO VALIDAR SEU MODELO DE NEGOCIO PARA COMECAR BEM;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
135;BA00000000646/011440000095;COMO VALIDAR SEU MODELO DE NEGOCIO PARA COMECAR BEM;8;Expediente/Massa para Modelar - 6 cores;;01.02.0080;;;;;
285;BA00000000646/011440000095;COMO VALIDAR SEU MODELO DE NEGOCIO PARA COMECAR BEM;1;Expediente/Papel Cartolina - Amarela;16 Tarjeta 30x10cm Amarela;01.02.0090;;;;;
349;BA00000000646/011440000095;COMO VALIDAR SEU MODELO DE NEGOCIO PARA COMECAR BEM;8;Expediente/Tesoura Escolar - 15cm;;01.02.0135;;;;;
482;BA00000000646/011440000095;COMO VALIDAR SEU MODELO DE NEGOCIO PARA COMECAR BEM;4;Expediente/Hidrocor - 12 Cores;;01.02.0222;;;;;
624;BA00000000646/011440000095;COMO VALIDAR SEU MODELO DE NEGOCIO PARA COMECAR BEM;1;Expediente/Papel Cartolina - Azul;16 Tarjeta 30x10cm AZUL ;01.02.0405;;;;;
652;BA00000000646/011440000095;COMO VALIDAR SEU MODELO DE NEGOCIO PARA COMECAR BEM;1;Expediente/Papel Cartolina - Branca;16 Tarjeta 30x10cm Branca;01.02.0406;;;;;
685;BA00000000646/011440000095;COMO VALIDAR SEU MODELO DE NEGOCIO PARA COMECAR BEM;1;Expediente/Papel Cartolina - Verde;16 Tarjeta 30x10cm Verde;01.02.0409;;;;;
